rank,word,frequency,probability
1,వచ్చు,387,0.008621457850650507
2,ఒక,348,0.007752628764926038
3,అవ్వు,252,0.005613972553911959
4,అంటే,244,0.005435751202994119
5,తెలుగు,214,0.0047674211370522185
6,రాష్ట్రం,210,0.004678310461593299
7,నుండి,203,0.004522366779540189
8,జరుగు,177,0.003943147389057209
9,కానీ,172,0.003831759044733559
10,అయితే,162,0.003608982356086259
11,ఎక్కువ,162,0.003608982356086259
12,లో,161,0.0035867046872215293
13,రోజు,151,0.003363927998574229
14,అండి,146,0.003252539654250579
15,అను,146,0.003252539654250579
16,అనేది,142,0.003163428978791659
17,భూమి,140,0.0031188736410621993
18,ఓకు,137,0.003052040634468009
19,ఇప్పుడు,136,0.0030297629656032793
20,ఇంకా,135,0.0030074852967385494
21,ద్వారా,133,0.002962929959009089
22,నుంచి,130,0.0028960969524148995
23,సార్,129,0.002873819283550169
24,వెయ్యి,128,0.0028515416146854392
25,చూడు,125,0.002784708608091249
26,తెలంగాణ,123,0.0027401532703617893
27,కంప్యూటర్,121,0.0026955979326323295
28,ఒకటి,118,0.0026287649260381394
29,తీసుకో,117,0.0026064872571734095
30,దేశం,117,0.0026064872571734095
31,అక్కడ,116,0.002584209588308679
32,సంవత్సరం,116,0.002584209588308679
33,ప్రజలు,115,0.0025619319194439493
34,ప్రాంతం,110,0.0024505435751202994
35,ప్రభుత్వం,109,0.0024282659062555695
36,చేసుకో,108,0.0024059882373908396
37,లేదా,108,0.0024059882373908396
38,భాష,107,0.0023837105685261093
39,ఏ,103,0.0022945998930671892
40,లేదు,102,0.0022723222242024593
41,మూడు,101,0.0022500445553377295
42,అనే,100,0.0022277668864729996
43,కోసం,94,0.0020941008732846193
44,ఎంత,93,0.0020718232044198894
45,నాలుగు,93,0.0020718232044198894
46,పెట్టు,93,0.0020718232044198894
47,ఎన్నిక,91,0.0020272678666904296
48,కేంద్రం,90,0.0020049901978256997
49,వరకు,90,0.0020049901978256997
50,వాతావరణం,90,0.0020049901978256997
51,అలాగే,88,0.0019604348600962395
52,కాలం,87,0.0019381571912315096
53,కదా,85,0.0018936018535020496
54,ముఖ్యం,85,0.0018936018535020496
55,యొక్క,85,0.0018936018535020496
56,సినిమా,85,0.0018936018535020496
57,కొంచెం,83,0.0018490465157725896
58,బాగా,83,0.0018490465157725896
59,చెందు,82,0.0018267688469078595
60,పార్టీ,82,0.0018267688469078595
61,తర్వాత,81,0.0018044911780431296
62,పో,81,0.0018044911780431296
63,గురించి,80,0.0017822135091783995
64,సమయం,80,0.0017822135091783995
